path,title,current_category,new_category,new_tags
_posts/2026-05-04-core-movement.md,Core Movement,goal-technical,technique,"movement,strength"
_posts/2026-05-04-goalie-battle.md,Goalie Battle,"warmup,strength,reaction,movement",reaction,"movement,strength,warmup"
_posts/2026-05-04-goalie-drill-with-two-shooters.md,Goalie Drill with two Shooters,goal-technical,technique,
_posts/2026-05-04-goalie-throwing-duell.md,Goalie throwing Duell,"warmup,coordination,strength,reaction,movement",reaction,"coordination,movement,strength,warmup"
_posts/2026-05-04-handeye-coordination--pick-a-color.md,Hand-Eye coordination - Pick a Color,"warmup,coordination",technique,"coordination,hand-eye,warmup"
_posts/2026-05-04-handeye-coordination-with-movement.md,Hand-Eye Coordination with Movement,"warmup,coordination,movement",coordination,"hand-eye,movement,warmup"
_posts/2026-05-04-medicine-ball-excercise-iii.md,Medicine Ball Excercise III,"warmup,strength",strength,"medicine-ball,warmup"
_posts/2026-05-04-medicine-ball-excercise-iv.md,Medicine Ball Excercise IV,"warmup,strength",strength,"medicine-ball,warmup"
_posts/2026-05-04-movement-with-reaction-ball.md,Movement with Reaction Ball,"warmup,coordination,movement",reaction,"coordination,movement,warmup"
_posts/2026-05-04-warum-trainiert-ein-torwart-vom-fc-barcelona-mit-einer-schnur-vor-der.md,Warum trainiert ein Torwart vom FC Barcelona mit einer Schnur vor der,coordination,coordination,brock-string
_posts/2026-05-05-180-turn-power-turn--richtungswechsel-180-richtungswechsel-power.md,180° turn Power turn - Richtungswechsel 180° Richtungswechsel Power,"coordination,strength,reaction,movement",reaction,"coordination,movement,strength"
_posts/2026-05-05-520m-sprint.md,5/20m Sprint,"coordination,reaction,movement",reaction,"coordination,movement"
_posts/2026-05-05-lateral-hops--einbeinige-sprnge-seitlich.md,Lateral Hops - Einbeinige Sprünge seitlich,"coordination,strength,movement",coordination,"footwork,movement,strength"
_posts/2026-05-05-medicine-ball-rotation-throws--rotationswrfe.md,Medicine ball rotation throws - Rotationswürfe,"coordination,strength,movement",coordination,"medicine-ball,movement,strength"
